S.0;Linux
Algoritmo;Bubble Sort
Forma Datos;Aleatorio
Elementos;Tiempo
10000;0,265
20000;0,972
30000;1,803
40000;3,417
50000;4,521
60000;6,727
70000;7,559
80000;9,424
90000;11,451
100000;13,852
110000;16,529
120000;19,309
130000;22,228
140000;25,473
150000;28,849
160000;32,586
170000;40,736
180000;37,026
190000;40,537
